Category	Topic	Subtopic 	Image	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7			
Retina	Macular Diseases	Choroidal Neovascularization (CNV)	nil	"Choroidal Neovascularization (CNV)
 _ Classificaton?"	"   Type 1
   - Under RPE
   Type 2
   - Between RPE + photoreceptors
   Type 3
   - Retinal angiomatous proliferations (RAP)"	 _ Classic Definitions?	"   Classic CNV
   - Early hyper + late leakage
   Occult CNV
   - Stippled/granular early hyper + late stain
   - 2 types: fibrovascular PED vs. late leakage of undetermined source
   Types
   - Predominantly Classic (>49% classic)
   - Minimally Classic (<49% classic)
   - Occult w/o Classic (no classic)"	nil	nil	nil	nil	nil	nil	nil	nil					
Retina	Macular Diseases	Choroidal Neovascularization (CNV)	nil	"Retinal Angiomatous Proliferation (RAP)
 _ Yannuzzi Classification?"	"   Stage 1
   - Intraretinal NV / leakage
   Stage 2
   - Subretinal NV + serous PED
   Stage 3
   - Choroidal NV + fibrovascular PED
   - FA: retinochoroidal anastamoses"	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil			
Retina	Macular Diseases	Wet AMD Treatments	nil	"Laser
MPS
- Extrafoveal & Juxtafoveal: 
    _ Laser all (AMD, POHS, idiopathic)
- Subfoveal: (only AMD studied)
    _ <2DD, laser
    _ 2-3.5DD, treat if <20/200
    _ >3.5DD, don’t laser
- Laser only classic, not occult
- Argon = krypton (no difference)"	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil			
Retina	Macular Diseases	Wet AMD Treatments	nil	"PDT
- Regular vs. Reduced fluence? "	"Regular: 600mW/cm2
Reduced: 300mW/cm2

TAP"	PDT > control in classic CNV	VIP	"PDT > control in occult CNV (w/o classic)
Small area (<4DA) and low vision (<20/30)
PDT studies also evaluated myopia"	nil	nil	nil	nil	nil	nil	nil	nil				
Retina	Macular Diseases	Wet AMD Treatments	nil	"Anti-VEGF
- Pegaptanib (Macugen) "	"pegylated anti-VEGF RNA aptamer 
binds VEGF 165
0.3mg"	Ranibizumab (Lucentis)	"48kD Fab of Mab (<50kD to cross retina)
targets VEGF-A
0.3mg (DME), 0.5mg (AMD), 2mg"	Bevacizumab (Avastin)	"full-length Mab + Fc
targets VEGF-A
1.25mg, 2.5mg"	Aflibercept (Eylea)	"ligand-binding domain of VEGFR _ + IgG Fc
binds VEGF-A & placental-like GF
2mg, 4mg"	nil	nil	nil	nil	nil	nil			
Retina	Macular Diseases	Wet AMD Treatments: Studies	nil	VISION	"Macugen q6wks x 48wks > sham
improved VA in all CNV"	MARINA	"Lucentis q4wks x 2yrs > sham
Minimally-classic or occult w/o classic CNV"	ANCHOR	"Lucentis q4wks x 2yrs > PDT q3mo PRN
Predominantly-classic CNV"	PIER	"Lucentis q4wks x 3 then q12wks
Steady decline after 3mo c/w q4wks"	PrONTO	"Lucentis q4wks x 3 then PRN (VA loss + fluid, CRT inc, mac hem, new cl CNV, persistent fluid s/p inj)
Comparable to q4wks; 5.6inj/yr, but q4wk visits
"	SUSTAIN	"Lucentis q4wks x 3 then PRN (VA loss, CRT inc)
Comparable to q4wks; 5.3inj/yr, but q4wk visits
"	HORIZON	"MARINA/ANCHOR/FOCUS pts  tx w/ PRN Lucentis q4wks s/p 2yrs
Continued less frequent dosing -> VA loss"			
Retina	Macular Diseases	Wet AMD Treatments: Studies	nil	CATT	"Lucentis = Avastin q4wks or PRN in VA (<5letter diff)
Lucentis > Avastin q4wks or PRN in OCT fluid (~10%)
Avastin > Lucentis in adverse events (24 vs 19%)"	FOCUS	"Lucentis + PDT > PDT alone
Predominantly-classic CNV"	"SUMMIT (MONT BLANC, DENALI, EVEREST)"	"Lucentis + PDT = Lucentis alone
Except IPCV (Lucentis + PDT > Lucentis)"	CABERNET	Lucentis + epimacular brachy vs Lucentis	RADICAL	"Lucentis + PDT + Dexamethasone vs Lucentis
"	"VIEW1 & 2
"	Eylea q1mo x 3 -> q2mo = Lucentis q1mo	HARBOR	Lucentis 0.5mg q4wks vs PRN vs 2mg q4wks vs PRN			
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
